id,host,dir
ioc-las-cxi-ctr-01,ioc-las-cxi-srv05,ioc/las/agilent5322/R1.0.4
ioc-las-cxi-evr-01,ioc-las-cxi-srv05,/cds/home/t/tjohnson/trunk/las/evr
ioc-las-cxi-phase-ims,ioc-las-cxi-srv05,/reg/g/pcds/epics-dev/cpino/ioc/las/ims/R0.4.0
ioc-las-cxi-pwr-01,ioc-las-mfx-srv45,ioc/las/pdu_snmp/R1.0.1
ioc-las-cxi-smc100-01,ioc-las-cxi-srv05,ioc/las/smc100/R0.3.4
ioc-las-cxi-sr620-01,ioc-las-cxi-srv05,ioc/las/sr620/R1.1.2
ioc-las-cxi-vitara,ioc-las-cxi-srv05,ioc/las/vitara/R3.0.0
ioc-las-diconn-01,ctl-las-ftl-srv01,/cds/home/t/tjohnson/trunk/common/dicon_gp600-git
ioc-las-dly-01,ctl-las-lln-01,/reg/g/pcds/epics-dev/cpino/ioc/las/delay/delay-git
ioc-las-dso4000-01,ctl-las-lhn-04,ioc/las/dso4000/R1.0.0
ioc-las-epm2000-01,ioc-las-mec-srv06,ioc/las/epm2000/R2.0.0
ioc-las-fiberOven,ctl-las-lhn-04,ioc/las/fiberOven/R3.2.0
ioc-las-fstiming-gluePV,ctl-las-lhn-01,ioc/las/pvNotepad/R1.0.1
ioc-las-ftl-bhc-01,ctl-las-ftl-srv01,/cds/home/t/tjohnson/trunk/las/ek9000
ioc-las-ftl-ctr-01,ctl-las-ftl-sp01,ioc/las/agilent5322/R1.0.3
ioc-las-ftl-evr-01,ctl-las-ftl-srv01,/cds/home/t/tjohnson/trunk/las/evr
ioc-las-ftl-mcs2-01,ctl-las-ftl-srv01,ioc/las/smaract/R1.0.2
ioc-las-ftl-mcs2-02,ctl-las-ftl-srv01,ioc/las/smaract/R1.0.2
ioc-las-ftl-menhir-01,ctl-las-ftl-srv01,ioc/las/menhir-1550/R1.0.0
ioc-las-ftl-pfts-gw-01,ctl-las-ftl-srv01,/cds/home/m/mcbrowne/trunk2/ioc/common/local_gateway
ioc-las-ftl-rfofrx-gw-01,ctl-las-ftl-srv01,/cds/home/m/mcbrowne/trunk2/ioc/common/local_gateway
ioc-las-ftl-rfoftx-gw-01,ctl-las-ftl-srv01,/cds/home/m/mcbrowne/trunk2/ioc/common/local_gateway
ioc-las-ftl-slice-01,ctl-las-ftl-sp01,ioc/las/slice-dhv/R1.0.1
ioc-las-hist1,ioc-las-xcs-srv04,ioc/common/history/R2.0.0
ioc-las-hist2,ioc-las-xcs-srv04,ioc/common/history/R2.0.0
ioc-las-ip1-pgpw8-01,ctl-las-ip1-srv05,ioc/las/pgpWave8/R2.0.1
ioc-las-ip1-pgpw8-02,ctl-las-ip1-srv05,ioc/las/pgpWave8/R2.0.0
ioc-las-ip1-pgpw8-03,ctl-las-ip1-srv05,ioc/las/pgpWave8/R2.0.0
ioc-las-ip1-pgpw8-04,ctl-las-lhn-sp01,ioc/las/pgpWave8/R2.0.0
ioc-las-lhn-amphos-03,las-neh-monitor,/reg/g/pcds/epics-dev/cpino/ioc/las/amphos/amphos-git
ioc-las-lhn-bhc-01,ctl-las-lhn-01,ioc/las/ek9000/R1.0.6
ioc-las-lhn-bhc-03,ctl-las-lhn-04,ioc/las/ek9000/R1.0.5
ioc-las-lhn-bhc-04,ctl-las-lhn-04,ioc/las/ek9000/R1.0.6
ioc-las-lhn-bhc-05,ctl-las-lhn-01,ioc/las/ek9000/R1.0.1
ioc-las-lhn-bhc-tst,ctl-las-lhn-01,/reg/g/pcds/epics-dev/sfsyunus/las/ek9000
ioc-las-lhn-ctr-01,ctl-las-lhn-01,ioc/las/agilent5322/R1.0.4
ioc-las-lhn-ctr-03,ctl-las-lhn-sp01,ioc/las/agilent5322/R1.0.3
ioc-las-lhn-ctr-04,ctl-las-lhn-04,ioc/las/agilent5322/R1.0.4
ioc-las-lhn-evr-01,ctl-las-lhn-01,/reg/g/pcds/epics-dev/cpino/ioc/las/evr/evr-git
ioc-las-lhn-evr-04,ctl-las-lhn-04,ioc/las/evr/R1.0.6
ioc-las-lhn-pgpw8-01,ctl-las-lhn-sp01,/cds/home/t/tjohnson/trunk/las/pgpWave8
ioc-las-lhn-phase-ims-04,ctl-las-lhn-04,/reg/g/pcds/epics-dev/cpino/ioc/las/ims/ims-git
ioc-las-lhn-phase-ims01,ioc-las-srv01,ioc/las/ims/R0.4.0
ioc-las-lhn-phase-ims04,ioc-las-srv04,/reg/g/pcds/epics-dev/cpino/ioc/las/ims/R0.4.0
ioc-las-lhn-pwr-01,ctl-las-lhn-01,ioc/las/pdu_snmp/R1.0.1
ioc-las-lhn-pwr-04,ctl-las-lhn-04,ioc/las/pdu_snmp/R1.0.1
ioc-las-lhn-slice-01,ctl-las-lhn-sp01,ioc/las/slice-dhv/R1.0.1
ioc-las-lhn-smc100-01,ctl-las-lhn-01,ioc/las/smc100/R0.3.4
ioc-las-lhn-smc100-04,ctl-las-lhn-04,ioc/las/smc100/R0.3.4
ioc-las-lhn-sr620-01,ctl-las-lhn-01,ioc/las/sr620/R1.1.2
ioc-las-lhn-sr620-03,ctl-las-lhn-04,/reg/g/pcds/epics-dev/cpino/ioc/las/sr620/sr620-git
ioc-las-lhn-sr620-04,ctl-las-lhn-04,ioc/las/sr620/R1.1.2
ioc-las-lhn-tpr-01,ctl-las-lhn-03,/cds/home/t/tjohnson/trunk/workarea/tprStandaloneTesting
ioc-las-lhn-vac-bts,ctl-las-lhn-01,/reg/g/pcds/epics-dev/cpino/ioc/las/vacuum/vacuum-git
ioc-las-lhn-vitara01,ctl-las-lhn-01,ioc/las/vitara/R3.0.0
ioc-las-lhn-vitara04,ctl-las-lhn-04,ioc/las/vitara/R3.0.0
ioc-las-lln-evr-01,ctl-las-lln-01,ioc/las/evr/R1.0.6
ioc-las-lln-evr-02,ctl-las-lln-02,/reg/g/pcds/epics-dev/mods/LLN/evr/evr-git
ioc-las-lln-evr-03,ctl-las-lln-03,ioc/las/evr/R1.0.6
ioc-las-lln-spec-01,ctl-las-lln-02,/cds/home/m/mcbrowne/trunk2/ioc/common/qmini.dev
ioc-las-lln-spec-02,ctl-las-lln-02,/cds/home/t/tjohnson/trunk/las/qmini
ioc-las-lln-tpr-02,ctl-las-lln-02,/cds/home/m/mcbrowne/trunk2/ioc/las/tprStandalone
ioc-las-lln-tst-01,ctl-las-lln-02,/cds/home/t/tjohnson/trunk/common/thorlabs-ell
ioc-las-lln-wfs-01,ctl-las-lln-02,/cds/home/m/mcbrowne/trunk2/ioc/common/Thorlabs-WFS
ioc-las-lm2k2-evr-01,ctl-las-crix-srv01,/reg/g/pcds/epics-dev/mods/lm2k2/evr
ioc-las-mec-checkSpec,ioc-las-mec-srv06,ioc/mec/xpwSpec/R1.1.0
ioc-las-mec-ctr-01,ioc-las-mec-srv06,ioc/las/agilent5322/R1.0.4
ioc-las-mec-phase-ims,ioc-las-mec-srv06,/reg/g/pcds/epics-dev/cpino/ioc/las/ims/ims-rhel5
ioc-las-mec-pwr-01,ioc-las-mfx-srv45,ioc/las/pdu_snmp/R1.0.1
ioc-las-mec-smc100-01,ioc-las-mec-srv06,ioc/las/smc100/R0.3.4
ioc-las-mec-sr620-01,ioc-las-mec-srv06,ioc/las/sr620/R1.1.2
ioc-las-mec-vitara,ioc-las-mec-srv06,ioc/las/vitara/R3.0.0
ioc-las-mfx-bhc-01,ioc-las-mfx-srv45,ioc/las/ek9000/R1.0.3
ioc-las-mfx-ctr-01,ioc-las-mfx-srv45,ioc/las/agilent5322/R1.0.4
ioc-las-mfx-evr-01,ioc-las-mfx-srv45,ioc/las/evr/R1.0.6
ioc-las-mfx-phase-ims,ioc-las-srv04,ioc/las/ims/R0.4.5
ioc-las-mfx-phase-ims-01,ioc-las-mfx-srv45,/reg/g/pcds/epics-dev/cpino/ioc/las/ims/ims-git
ioc-las-mfx-pwr-01,ioc-las-mfx-srv45,ioc/las/pdu_snmp/R1.0.1
ioc-las-mfx-smc100-01,ioc-las-mfx-srv45,ioc/las/smc100/R0.3.4
ioc-las-mfx-sr620-01,ioc-las-mfx-srv45,ioc/las/sr620/R1.1.2
ioc-las-mfx-vitara,ioc-las-mfx-srv45,ioc/las/vitara/R3.0.0
ioc-las-mods01,ctl-las-ip1-srv06,/cds/home/t/tjohnson/trunk/common/mods
ioc-las-opcpa-ctr-01,ctl-las-lhn-03,/reg/g/pcds/epics-dev/cpino/ioc/las/agilent5322/agilent5322-git
ioc-las-opcpa-dso4000-01,ctl-las-lln-03,ioc/las/dso4000/R1.0.0
ioc-las-opcpa-mcs2-01,ctl-las-lhn-03,/cds/home/t/tjohnson/trunk/common/smaract
ioc-las-opcpa-spec-01,ctl-las-lhn-03,/cds/home/t/tjohnson/trunk/las/qmini
ioc-las-opcpa-tst,ctl-las-lhn-03,/cds/home/m/mcbrowne/trunk2/ioc/common/qmini
ioc-las-pftsman01,ctl-las-ftl-srv01,/cds/home/m/mcbrowne/trunk2/ioc/common/pfts_manager
ioc-las-pftssim-01,ctl-las-ftl-srv01,/cds/home/m/mcbrowne/trunk2/ioc/common/pfts_manager
ioc-las-pgpswitch-01,ctl-las-lhn-sp01,ioc/common/pgp_switch/R1.0.0
ioc-las-qadc134-mcb,ctl-las-crix-srv01,/cds/home/m/mcbrowne/trunk2/ioc/common/qadc
ioc-las-rfof-itech-01,ctl-las-ftl-srv01,ioc/las/iTech_RFOF/R1.0.2
ioc-las-rfof-thermocon-01,ctl-las-ftl-srv01,/cds/home/t/tjohnson/trunk/las/thermocon
ioc-las-scope-tds3000-01,ioc-las-xcs-srv04,/cds/home/t/tjohnson/trunk/las/TDS3000
ioc-las-sector2-pwr-01,ctl-las-ftl-srv01,/cds/home/t/tjohnson/trunk/las/pdu_snmp
ioc-las-sim900-01,ioc-las-srv01,ioc/common/sim900/R0.1.0
ioc-las-src800-01,ioc-las-srv01,/cds/home/m/mcbrowne/trunk2/ioc/common/raritan
ioc-las-tst-smc100-01,ioc-las-srv04,/reg/g/pcds/epics-dev/sfsyunus/las/smc100_tst
ioc-las-tst-sr620-01,ioc-las-mfx-srv45,/reg/g/pcds/epics-dev/cpino/ioc/las/sr620/current
ioc-las-und-phase-ims,ioc-las-xcs-srv04,/reg/g/pcds/epics-dev/sfsyunus/las/ims/current
ioc-las-vcmd1-01,ioc-las-mec-srv06,/reg/neh/home/tjohnson/trunk/mec/UniblitzVCMD1
ioc-las-xcs-beck1,ioc-las-xcs-srv04,ioc/las/beckhoff/R0.3.2
ioc-las-xcs-ctr-01,ioc-las-xcs-srv04,ioc/las/agilent5322/R1.0.4
ioc-las-xcs-evr-01,ioc-las-xcs-srv04,ioc/las/evr/R1.0.6
ioc-las-xcs-phase-ims,ioc-las-xcs-srv04,/reg/g/pcds/epics-dev/cpino/ioc/las/ims/R0.4.0
ioc-las-xcs-pwr-01,ioc-las-mfx-srv45,ioc/las/pdu_snmp/R1.0.1
ioc-las-xcs-smc100,ioc-las-xcs-srv04,/reg/g/pcds/epics-dev/cpino/ioc/las/smc100/R0.2.3
ioc-las-xcs-smc100-01,ioc-las-xcs-srv04,ioc/las/smc100/R0.3.4
ioc-las-xcs-sr620-01,ioc-las-xcs-srv04,ioc/las/sr620/R1.1.2
ioc-las-xcs-vitara,ioc-las-xcs-srv04,ioc/las/vitara/R3.0.0
ioc-las-xps4,ioc-las-srv04,/reg/g/pcds/epics-dev/sfsyunus/las/NewportXPS8/current
ioc-lhn-bay1-ff-01,ctl-las-lhn-01,ioc/las/gigECam/R0.3.0
ioc-lhn-bay1-nf-01,ctl-las-lhn-01,ioc/las/gigECam/R0.3.0
ioc-lhn-bay3-ff-01,ctl-las-lhn-03,ioc/las/gigECam/R0.3.0
ioc-lhn-bay3-ff-02,ctl-las-lhn-03,ioc/las/gigECam/R0.3.0
ioc-lhn-bay3-nf-01,ctl-las-lhn-03,ioc/las/gigECam/R0.3.0
ioc-lhn-bay3-nf-02,ctl-las-lhn-03,ioc/las/gigECam/R0.3.0
ioc-lhn-bay4-ff-01,ctl-las-lhn-04,ioc/las/gigECam/R0.3.0
ioc-lhn-bay4-nf-01,ctl-las-lhn-04,ioc/las/gigECam/R0.3.0
ioc-lhn-bts-ff-01,ctl-las-lhn-01,ioc/las/gigECam/R0.3.0
ioc-lhn-bts-nf-01,ctl-las-lhn-01,ioc/las/gigECam/R0.3.0
ioc-lhn-llman-01,ctl-las-lhn-sp01,ioc/common/locker_manager/R0.6.0
ioc-lm1k2-com-ell-01,ctl-las-lln-02,/reg/g/pcds/epics-dev/mods/lm1k2/com/thorlabs-ell
ioc-lm1k2-com-gige-ff-01,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/com/gigECam
ioc-lm1k2-com-gige-ff-02,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/com/gigECam
ioc-lm1k2-com-gige-ff-03,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/com/gigECam
ioc-lm1k2-com-gige-nf-01,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/com/gigECam
ioc-lm1k2-com-gige-nf-02,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/com/gigECam
ioc-lm1k2-com-gige-nf-03,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/com/gigECam
ioc-lm1k2-hrm-gige-ff-01,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/hrm/gigECam
ioc-lm1k2-hrm-gige-ff-02,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/hrm/gigECam
ioc-lm1k2-hrm-gige-nf-01,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/hrm/gigECam
